5 Ingersoll Lane,Richmond Hill,Att/Row/Twnhouse + 2-Storey,1/9/2026,"$945,000 ",118,4,5,1,2,"1,660",2023,45,None,19.03,70.54,"5,049"
125 Walter Sinclair Crt,Richmond Hill,Att/Row/Twnhouse + 2-Storey,2/23/2026,"$1,100,000 ",96,4 + 1,4,1,1,"2,000",2014,129,Walk-Out,25.82,104.99,"5,609"
43 Pitney Ave,Richmond Hill,Att/Row/Twnhouse + 2-Storey,4/19/2026,"$1,100,000 ",96,3 + 1,4,1,1,"2,055",,25,Finished,31.14,88.58,"5,070.63"
18 London Pride Dr,Richmond Hill,Att/Row/Twnhouse + 2-Storey,4/7/2026,"$1,075,000 ",96,4,4,1,1,"2,005",2013,31,"Separate Entrance, Unfinished",21.16,131.58,"6,375.13"
44 Stoyell Dr,Richmond Hill,Att/Row/Twnhouse + 2-Storey,4/20/2026,"$890,000 ",95,3,3,1,1,"1,701",,20,"Unfinished, Walk-Out",24.61,88.58,"4,849.54"
55 Port Arthur Cres,Richmond Hill,Att/Row/Twnhouse + 2-Storey,4/28/2026,"$1,250,000 ",125,4,4,1,1,"2,268",2016,20,Finished with Walk-Out,25.1,133.01,"6,353.03"
104 Stoyell Dr,Richmond Hill,Att/Row/Twnhouse + 2-Storey,5/14/2026,"$935,000 ",110,3,3,1,1,"1,560",,2,Finished,24.63,88.66,"4,584.20"
21 Thistle Ave,Richmond Hill,Att/Row/Twnhouse + 2-Storey,6/15/2026,"$1,050,000 ",96,3,3,1,1,"1,591",,20,Finished,24.61,88.58,"4,510.50"
29 Winisk St,Richmond Hill,Att/Row/Twnhouse + 2-Storey,1/29/2026,"$885,000 ",95,3,3,1,1,"1,600",,7,Full,25,90,"2,337.87"
1 Pacific Rim Crt,Richmond Hill,Att/Row/Twnhouse + 2-Storey,2/4/2026,"$1,065,000 ",89,4,4,1,1,"2,227",2013,266,Unfinished,36,101,"5,543"
7 Paper Mills Cres,Richmond Hill,Att/Row/Twnhouse + 2-Storey,4/7/2026,"$1,075,000 ",98,3,3,1,1,"1,802",2016,35,Unfinished,20.08,109.58,"5,041.15"
38 Pacific Rim Crt,Richmond Hill,Att/Row/Twnhouse + 2-Storey,5/14/2026,"$1,070,000 ",97,4,4,1,1,"2,227",2013,15,"Full, Unfinished",39.55,78.91,"6,176.14"
16 Carriage House Crt,Richmond Hill,Att/Row/Twnhouse + 2-Storey,5/27/2026,"$1,230,000 ",92,3 + 1,5,1,2,"2,648",2005,2,Finished,27.89,128.54,"6,117.18"
8 Townwood Dr,Richmond Hill,Att/Row/Twnhouse + 2-Storey,4/9/2026,"$1,095,000 ",98,3,4,1,1,"2,397",,8,Finished with Walk-Out,20.95,97.83,"5,049"
41 Napanee St,Richmond Hill,Att/Row/Twnhouse + 2-Storey,6/19/2026,"$1,136,000 ",97,3 + 1,3,1,1,"1,845",2014,10,"Finished, Walk-Out",20.67,104.99,"5,409.65"
55 Carriage House Crt,Richmond Hill,Att/Row/Twnhouse + 2-Storey,4/17/2026,"$1,240,000 ",104,3,4,1,2,"1,992",2005,22,Finished,52.95,102.88,"6,581.50"
12 Winisk St,Richmond Hill,Att/Row/Twnhouse + 2-Storey,4/30/2026,"$1,030,000 ",91,3 + 1,3,1,1,"1,894",2010,36,"Full, Unfinished",32.97,88.58,"5,218.92"
38 Carriage House Crt,Richmond Hill,Att/Row/Twnhouse + 2-Storey,5/8/2026,"$1,251,000 ",96,3,4,1,2,"2,554",2005,17,Finished,33.6,132.38,"6,677"
31 Bancroft Lane,Richmond Hill,Att/Row/Twnhouse + 3-Storey,4/13/2026,"$1,173,990 ",98,3,4,1,1,"2,089",,38,Finished,7.42,24,0
134 Credit Lane,Richmond Hill,Att/Row/Twnhouse + 3-Storey,1/21/2026,"$1,098,800 ",95,3,4,1,1,"1,971",,61,"Full, Unfinished",19,102,0
155 Credit Lane,Richmond Hill,Att/Row/Twnhouse + 3-Storey,1/30/2026,"$1,050,000 ",95,4,5,1,2,"1,974",,70,None,19,72,0
19 Bancroft Lane,Richmond Hill,Att/Row/Twnhouse + 3-Storey,5/8/2026,"$1,198,990 ",100,3,4,1,1,"2,089",,29,Finished,7.41,24.1,0
12 Bancroft Lane,Richmond Hill,Att/Row/Twnhouse + 3-Storey,1/28/2026,"$1,098,990 ",100,3,3,1,2,"1,829",,90,None,9.52,13.48,0
141 Credit Lane,Richmond Hill,Att/Row/Twnhouse + 3-Storey,2/15/2026,"$1,100,000 ",96,3,4,1,2,"2,105",,23,None,19,72,0
69 Jefferson Sdrd,Richmond Hill,Att/Row/Twnhouse + 3-Storey,2/12/2026,"$1,113,990 ",100,3,4,1,2,"1,813",,90,Finished,5.79,22.17,0
29 Bancroft Lane,Richmond Hill,Att/Row/Twnhouse + 3-Storey,4/13/2026,"$1,138,990 ",100,3,5,1,1,"1,981",,38,Finished,5.99,24,0
77 Jefferson Sdrd,Richmond Hill,Att/Row/Twnhouse + 3-Storey,5/25/2026,"$1,044,990 ",100,3,4,1,2,"1,800",,17,Finished,7.69,22.16,0
66 Ingersoll Lane,Richmond Hill,Att/Row/Twnhouse + 3-Storey,2/20/2026,"$1,200,000 ",96,3,4,1,2,"2,518",,91,None,5.8,22,0
20 Credit Lane,Richmond Hill,Att/Row/Twnhouse + 3-Storey,4/30/2026,"$1,048,000 ",150,4,4,1,2,"2,610",2024,23,None,24.61,70.54,"5,874"
10 Bancroft Lane,Richmond Hill,Att/Row/Twnhouse + 3-Storey,5/24/2026,"$914,990 ",100,3,3,1,2,"1,829",,16,None,11.38,7.39,0
24 Yang St,Richmond Hill,Att/Row/Twnhouse + Backsplit 4,2/11/2026,"$980,000 ",109,4,3,1,1,"1,800",,15,Full,24.63,88.66,"4,864.27"
81 Post Oak Dr,Richmond Hill,Detached + 2 1/2 Storey,4/1/2026,"$2,110,000 ",96,5,6,1,2,"4,072",,15,Unfinished,44,101,0
102 Serano Cres,Richmond Hill,Detached + 2-Storey,4/11/2026,"$1,582,500 ",96,4,5,1,2,"2,885",2011,15,Finished,44.29,88.58,"7,679.64"
25 Fieldflower Cres,Richmond Hill,Detached + 2-Storey,4/20/2026,"$1,360,000 ",97,4 + 1,4,1,2,"2,199",,13,Finished,44.29,88.58,"6,751.02"
83 Estrella Cres,Richmond Hill,Detached + 2-Storey,2/3/2026,"$1,280,000 ",100,4 + 1,5,1,2,"2,098",,4,Finished,36.1,88.67,"6,100"
29 Seiffer Cres,Richmond Hill,Detached + 2-Storey,2/5/2026,"$1,520,000 ",95,4 + 2,5,1,2,"3,162",,16,"Finished, Full",70.6,88.66,"8,439"
64 Lourakis St,Richmond Hill,Detached + 2-Storey,5/21/2026,"$1,225,000 ",102,4,3,1,2,"2,063",,13,Full,36.09,88.58,"6,280"
44 Skywood Dr,Richmond Hill,Detached + 2-Storey,5/12/2026,"$1,636,000 ",97,4 + 2,6,1,2,"2,803",,13,Finished with Walk-Out,44.29,114.99,"7,981.82"
247 Selwyn Rd,Richmond Hill,Detached + 2-Storey,5/24/2026,"$1,608,000 ",97,4,5,1,2,"3,214",,8,Finished,44.32,88.66,"7,834.41"
128 selwyn Rd,Richmond Hill,Detached + 2-Storey,6/4/2026,"$1,550,000 ",95,4 + 2,6,1,2,"2,711",,14,Finished,45,90,"7,266"
3 Mansard Dr,Richmond Hill,Detached + 2-Storey,6/13/2026,"$1,418,000 ",102,4,4,1,2,"2,349",,10,Finished,41.27,88.66,"6,839.45"
33 Carnoustie Cres,Richmond Hill,Detached + 2-Storey,2/10/2026,"$1,595,000 ",98,3,4,1,2,"2,360",2005,21,"Finished, Walk-Out",32.15,103,"8,497.72"
11 Amstel Ave,Richmond Hill,Detached + 2-Storey,2/28/2026,"$1,635,500 ",97,4 + 2,5,1,2,"2,885",2010,37,Finished,42.21,92.15,"8,019"
57 Skywood Dr,Richmond Hill,Detached + 2-Storey,5/23/2026,"$1,615,000 ",96,4,4,1,2,"2,614",2003,2,Partially Finished,45.44,85.3,"7,244"
68 Albright Cres,Richmond Hill,Detached + 2-Storey,6/3/2026,"$1,420,000 ",95,4 + 1,4,1,2,"2,330",,62,Finished,36.45,88.66,"6,484"
78 Ravine Edge Dr,Richmond Hill,Detached + 2-Storey,1/8/2026,"$1,915,000 ",92,4,4,1,2,"3,327",,56,"Unfinished, Walk-Out",49.26,142.84,"9,176"
26 Rollinghill Rd,Richmond Hill,Detached + 2-Storey,2/28/2026,"$1,188,000 ",92,3,3,1,2,"1,859",,43,Unfinished,44.33,80.44,"5,807.64"
2 Limelight St,Richmond Hill,Detached + 2-Storey,3/23/2026,"$1,800,000 ",90,4 + 1,4,1,2,"3,566",,17,"Finished, Full",53.64,100.49,"8,571"
28 Mancini Cres,Richmond Hill,Detached + 2-Storey,5/15/2026,"$1,711,888 ",114,4 + 1,5,1,2,"2,815",,14,"Finished, Walk-Out",41.01,108.27,"7,908"
9 O'hara Cres,Richmond Hill,Detached + 2-Storey,5/26/2026,"$1,508,000 ",95,4 + 1,5,1,2,"2,805",2005,12,Finished,41.99,125,"7,738.60"
17 Lourakis St,Richmond Hill,Detached + 2-Storey,2/17/2026,"$1,488,000 ",115,4 + 2,5,1,2,"2,670",2009,12,Finished,44.98,88.5,"7,716"
31 Misty Well Dr,Richmond Hill,Detached + 2-Storey,2/20/2026,"$1,655,000 ",111,4 + 2,4,1,2,"2,535",2003,14,Finished with Walk-Out,39.37,109.91,"7,237.43"
22 Carnoustie Cres,Richmond Hill,Detached + 2-Storey,3/11/2026,"$1,300,000 ",98,4,3,1,2,"2,300",,188,Unfinished,36.09,88.58,"6,109.81"
7 Sequin Dr,Richmond Hill,Detached + 2-Storey,3/12/2026,"$1,425,000 ",97,4,3,1,2,"2,350",,7,"Full, Unfinished",38.38,0,"6,692.05"
28 Morganfield Crt,Richmond Hill,Detached + 2-Storey,3/15/2026,"$1,475,000 ",98,4,4,1,2,"3,227",,30,Unfinished,44.29,88.58,"8,062.89"
222 Silver Maple Rd,Richmond Hill,Detached + 2-Storey,3/31/2026,"$1,430,000 ",95,4 + 2,5,1,2,"2,917",2006,82,"Apartment, Separate Entrance",44.95,88.66,"7,650"
45 Jefferson Forest Dr,Richmond Hill,Detached + 2-Storey,4/1/2026,"$1,490,000 ",96,4,4,1,2,"2,728",2004,39,"Full, Walk-Out",44.95,109.91,"7,421.69"
39 Wagon Wheel Cres,Richmond Hill,Detached + 2-Storey,5/19/2026,"$1,338,000 ",96,4,3,1,2,"2,485",2006,6,Unfinished,42.45,90.03,"6,994.23"
29 Mansard Dr,Richmond Hill,Detached + 2-Storey,6/4/2026,"$1,360,500 ",97,4,4,1,2,"1,955",,23,Finished with Walk-Out,36.09,88.58,"6,485.68"
18 Hayfield Cres,Richmond Hill,Detached + 2-Storey,6/11/2026,"$1,485,000 ",94,4,4,1,2,"2,477",2008,2,Finished,58.84,88.66,"7,245"
46 Braehead Dr,Richmond Hill,Detached + 2-Storey,6/16/2026,"$1,375,000 ",95,4 + 1,5,1,2,"2,556",,65,Finished,55.12,88.58,"7,443.80"
